target,is_repaired,score,tags,used_function_names,used_statement_ids,operated_positions,created_statement_id,used_identifier_ids,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,repair_initialization_time,repair_rep_generation_time,repair_evalution_time,tag
test2/ARC002/1/WA/14788987.c,true,40,3 ,test2/ARC002/1/AC/26241.c::main ,5958 ,[0 5 ],50025 ,[2013 2013 186 2013 186 186 186 ],146,33302,5862,448,26976,25889,241,846,2
test2/ARC002/1/WA/151312.c,true,40,3 ,test2/ARC002/1/AC/482955.c::main ,27613 ,[0 1 1 0 ],49137 ,[380 186 380 186 186 ],52,13666,4893,391,8368,7795,245,328,2
test2/ARC002/1/WA/16628373.c,true,40,3 ,test2/ARC002/1/AC/8787585.c::main ,43945 ,[0 5 ],52031 ,[1046 302 302 ],2305,35546,5284,577,29647,18191,477,10979,2
test2/ARC002/1/WA/17753.c,true,40,1 3 ,test2/ARC002/1/AC/26241.c::main test2/ARC002/1/AC/22147693.c::main ,1330 41679 ,[0 0 ][0 6 ],51474 52158 ,[384 221 221 ][221 384 384 186 384 186 384 186 186 ],1232,19031,4864,429,13717,7973,490,5254,2
test2/ARC002/1/WA/17755.c,true,40,3 ,test2/ARC002/1/AC/99702.c::main ,43351 ,[0 5 ],63401 ,[383 186 383 186 383 186 186 ],5552,60144,5131,432,54467,7916,1672,44879,2
test2/ARC002/1/WA/1894592.c,true,40,3 ,test2/ARC002/1/AC/22308669.c::main ,5577 ,[0 1 ],49270 ,[861 186 861 186 861 186 186 ],32,13061,5381,464,7203,6206,277,720,2
test2/ARC002/1/WA/1894618.c,true,40,3 ,test2/ARC002/1/AC/20267.c::main ,29349 ,[0 1 ],49340 ,[861 861 861 186 186 186 186 ],78,20552,5002,447,15091,14313,270,508,2
test2/ARC002/1/WA/20258.c,true,40,3 ,test2/ARC002/1/AC/21916623.c::main ,43572 ,[0 1 ],49263 ,[380 186 380 186 380 186 186 ],79,12817,4965,406,7434,6694,254,486,2
test2/ARC002/1/WA/20259.c,true,40,3 ,test2/ARC002/1/AC/959262.c::main ,713 ,[0 1 ],49327 ,[186 380 380 380 ],125,13149,5126,427,7584,6708,255,621,2
test2/ARC002/1/WA/20260.c,true,40,3 ,test2/ARC002/1/AC/212078.c::main ,28057 ,[0 1 ],49352 ,[302 380 380 380 ],117,12895,4872,428,7581,6705,254,622,2
test2/ARC002/1/WA/2120412.c,true,40,3 ,test2/ARC002/1/AC/26241.c::main ,4686 ,[0 14 ],53502 ,[1048 1048 186 1048 186 186 186 ],1761,65728,5319,878,59476,48087,527,10862,2
test2/ARC002/1/WA/21460715.c,true,40,3 ,test2/ARC002/1/AC/99702.c::main ,44009 ,[0 2 0 0 ],51126 ,[380 186 380 186 380 186 186 ],779,19186,5131,455,13582,10060,224,3298,2
