target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
test/ABC272/A/WA/35469736.c,target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
test/ABC266/A/WA/34439326.c,false,10000,36694,36220,false,10000,88955,66257,false,10000,104592,73295,false,10000,115213,83829,false,10000,130707,99537,
test/ABC266/A/WA/34439387.c,false,10000,43791,43315,false,10000,102222,79714,false,10000,92943,61761,false,10000,108628,77130,false,10000,104277,72896,
test/ABC266/A/WA/34439394.c,false,10000,43862,43382,false,10000,88340,65240,false,10000,87508,56165,false,10000,93863,62138,false,10000,104927,73748,
test/ABC266/A/WA/34440081.c,false,10000,84750,84087,false,10000,194777,172103,false,10000,219607,187583,false,10000,233172,200780,false,10000,240257,207915,
test/ABC266/A/WA/34440323.c,false,10000,39150,38497,false,10000,88421,65711,false,10000,103488,72100,false,10000,117561,86275,false,10000,102114,70869,
test/ABC266/A/WA/34478981.c,false,10000,51489,51052,false,10000,106882,84332,false,10000,118014,86250,false,10000,123655,91672,false,10000,130523,98704,
test/ABC266/A/WA/34502158.c,false,10000,14574,14111,false,10000,67039,44431,false,10000,89383,57973,false,10000,89944,58789,false,10000,86570,55488,
test/ABC266/A/WA/34502181.c,false,10000,17542,16892,false,10000,86359,63670,false,10000,88474,57080,false,10000,101371,70027,false,10000,95242,64034,
test/ABC266/A/WA/34502199.c,false,10000,52555,51881,true,711,44041,21604,false,10000,106441,74822,true,205,52405,21142,false,10000,104774,73249,
test/ABC266/A/WA/34502233.c,false,10000,51880,51285,true,297,42548,19998,true,105,48689,17299,true,63,48243,17115,true,4217,74463,42973,
test/ABC266/A/WA/34515128.c,false,10000,132120,131652,false,10000,155183,132477,false,10000,170077,138156,false,10000,172929,140963,false,10000,172184,140427,
test/ABC266/A/WA/34520112.c,false,10000,45659,44998,false,10000,107094,84015,false,10000,110086,78587,false,10000,125169,93500,false,10000,112357,80879,
test/ABC266/A/WA/34520157.c,false,10000,47073,46412,false,10000,103533,80865,false,10000,108024,76803,false,10000,123026,91628,false,10000,107910,76304,
test/ABC266/A/WA/34520176.c,false,10000,39771,39126,false,10000,103443,80592,false,10000,121789,90280,false,10000,133533,101953,false,10000,114328,82973,
